epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,146.57,0.8609,0.66156,0.94132,0.69441,0.66667,0.67578,0.39401,1.41544,1.19356,1.46476,0.000614,0.000614,0.000614
72,148.557,0.79699,0.6176,0.889,0.71294,0.61538,0.64768,0.35994,1.42963,1.2077,1.47823,0.0005942,0.0005942,0.0005942
73,150.526,0.82291,0.66413,0.91265,0.73066,0.64103,0.65911,0.37717,1.37575,1.24662,1.3835,0.0005744,0.0005744,0.0005744
74,152.604,0.86095,0.63956,0.94263,0.85545,0.66667,0.74699,0.42224,1.44407,1.16666,1.46341,0.0005546,0.0005546,0.0005546
75,154.645,0.79664,0.57884,0.8833,0.7363,0.71795,0.72007,0.40547,1.54271,1.05506,1.54314,0.0005348,0.0005348,0.0005348
76,156.573,0.80096,0.62017,0.91952,0.75234,0.70119,0.74244,0.41262,1.51042,1.06927,1.50606,0.000515,0.000515,0.000515
77,158.413,0.76461,0.61281,0.90529,0.91275,0.5641,0.71531,0.41236,1.45216,1.16554,1.43191,0.0004952,0.0004952,0.0004952
78,160.295,0.77077,0.60846,0.91495,0.84486,0.55872,0.70541,0.42872,1.43714,1.2372,1.47751,0.0004754,0.0004754,0.0004754
79,162.229,0.73436,0.56851,0.90011,0.78415,0.65224,0.73411,0.42706,1.4104,1.11945,1.46561,0.0004556,0.0004556,0.0004556
80,164.342,0.76014,0.59243,0.91883,0.75676,0.61538,0.69004,0.42879,1.40662,1.09761,1.43928,0.0004358,0.0004358,0.0004358
81,166.439,0.76245,0.57408,0.89355,0.80299,0.64103,0.73219,0.43327,1.35547,1.09305,1.39368,0.000416,0.000416,0.000416
82,168.572,0.7236,0.5603,0.89957,0.835,0.66667,0.72645,0.42892,1.33733,1.22333,1.37052,0.0003962,0.0003962,0.0003962
83,170.693,0.75939,0.55675,0.89645,0.89154,0.63249,0.73581,0.43814,1.38601,1.20372,1.42178,0.0003764,0.0003764,0.0003764
